PDF file,%PDF-1.6,9,lightblue
PDF file,Linearized,417,MediumPurple
PDF file,Cavity 3,9,red
PDF file,21 0 obj,147
PDF file,12 0 obj,116
PDF file,13 0 obj,154
PDF file,Object stream 14,383
PDF file,15 0 obj,48
PDF file,Object stream 1,726
PDF file,2 0 obj,3591
PDF file,Object stream 3,140
PDF file,Object stream 4,205
PDF file,XRef stream 5,279
PDF file,startxref,10,lightblue
PDF file,Cavity 4,3,red
PDF file,%%EOF,6,lightblue
Incremental Update 1,2 0 obj,3591,PaleGreen
Incremental Update 1,22 0 obj,44,PaleGreen
Incremental Update 1,23 0 obj,234,PaleGreen
Incremental Update 1,Object stream 24,231,PaleGreen
Incremental Update 1,Object stream 25,205,PaleGreen
Incremental Update 1,XRef stream 26,305,PaleGreen
Incremental Update 1,startxref,10,PaleGreen
Incremental Update 1,Cavity 5,5,PaleGreen
Incremental Update 1,%%EOF,6,PaleGreen
Linearized,11 0 obj,77,MediumPurple
Linearized,Cavity 2,22,red
Linearized,XRef stream 16,302,MediumPurple
Linearized,startxref,10,MediumPurple
Linearized,%%EOF,6,MediumPurple
Object stream 14,17 0 obj,111
Object stream 14,18 0 obj,8
Object stream 14,19 0 obj,138
Object stream 14,20 0 obj,126
Object stream 1,6 0 obj,72
Object stream 1,7 0 obj,60
Object stream 1,8 0 obj,1175
Object stream 3,9 0 obj,36
Object stream 4,10 0 obj,110
Object stream 24,19 0 obj,138
Object stream 25,10 0 obj,110
21 0 obj,Stream dicts,64,wheat
21 0 obj,Compressed 21 0 obj,83,MistyRose
12 0 obj,Dictionaries,116,wheat
13 0 obj,Dictionaries,154,wheat
Object stream 14,Stream dicts,75,wheat
Object stream 14,Compressed Object stream 14,308,MistyRose
15 0 obj,Stream dicts,29,wheat
15 0 obj,Compressed 15 0 obj,19,MistyRose
Object stream 1,Stream dicts,74,wheat
Object stream 1,Compressed Object stream 1,652,MistyRose
2 0 obj,Stream dicts,57,wheat
2 0 obj,Compressed 2 0 obj,3534,MistyRose
Object stream 3,Stream dicts,72,wheat
Object stream 3,Compressed Object stream 3,68,MistyRose
Object stream 4,Stream dicts,73,wheat
Object stream 4,Compressed Object stream 4,132,MistyRose
XRef stream 5,Stream dicts,211,wheat
XRef stream 5,Compressed XRef stream 5,68,MistyRose
2 0 obj,Stream dicts,57,wheat
2 0 obj,Compressed 2 0 obj,3534,MistyRose
22 0 obj,Dictionaries,44,wheat
23 0 obj,Stream dicts,52,wheat
23 0 obj,Compressed 23 0 obj,182,MistyRose
Object stream 24,Stream dicts,74,wheat
Object stream 24,Compressed Object stream 24,157,MistyRose
Object stream 25,Stream dicts,74,wheat
Object stream 25,Compressed Object stream 25,131,MistyRose
XRef stream 26,Stream dicts,247,wheat
XRef stream 26,Compressed XRef stream 26,58,MistyRose
XRef stream 16,Stream dicts,235,wheat
XRef stream 16,Compressed XRef stream 16,67,MistyRose
17 0 obj,Dictionaries,111,wheat
18 0 obj,Arrays,8,lightcyan
19 0 obj,Dictionaries,138,wheat
20 0 obj,Dictionaries,126,wheat
6 0 obj,Dictionaries,72,wheat
7 0 obj,Dictionaries,60,wheat
8 0 obj,Dictionaries,1175,wheat
9 0 obj,Dictionaries,36,wheat
10 0 obj,Dictionaries,110,wheat
19 0 obj,Dictionaries,138,wheat
10 0 obj,Dictionaries,110,wheat
Compressed 21 0 obj,Uncompressed data,123,MistyRose
Compressed Object stream 14,Uncompressed data,426,MistyRose
Compressed 15 0 obj,Uncompressed data,19,MistyRose
Compressed Object stream 1,Uncompressed data,1339,MistyRose
Compressed 2 0 obj,Uncompressed data,3534,MistyRose
Compressed Object stream 3,Uncompressed data,68,MistyRose
Compressed Object stream 4,Uncompressed data,132,MistyRose
Compressed XRef stream 5,Uncompressed data,68,MistyRose
Compressed 2 0 obj,Uncompressed data,3534,MistyRose
Compressed 23 0 obj,Uncompressed data,334,MistyRose
Compressed Object stream 24,Uncompressed data,160,MistyRose
Compressed Object stream 25,Uncompressed data,132,MistyRose
Compressed XRef stream 26,Uncompressed data,58,MistyRose
Compressed XRef stream 16,Uncompressed data,67,MistyRose
Cavity 3,Cavities,9,red
Cavity 4,Cavities,3,red
Cavity 5,Cavities,5,red
Cavity 2,Cavities,22,red
%PDF-1.6,Overhead,9,lightblue
startxref,Overhead,10,lightblue
%%EOF,Overhead,6,lightblue
startxref,Overhead,10,lightblue
%%EOF,Overhead,6,lightblue
startxref,Overhead,10,lightblue
%%EOF,Overhead,6,lightblue
Stream dicts,Dictionaries,1394,wheat
Dictionaries,Objects,3784,wheat
Arrays,Objects,8,lightcyan
